lag,series_count,median,q25,q75,min,max
1,70,0.3997267495392045,0.2629496602717314,0.47946805737243875,-0.05898411289953194,0.7169099803481759
2,70,0.2698837913434915,0.11018525177939689,0.40473408529421023,-0.13711060373241007,0.6397241960097728
3,70,0.19624460303272195,0.06045145088551851,0.38151856374202986,-0.12985214853612628,0.6263147708948616
7,70,0.3107720887089652,0.21064474765316527,0.39208751961294996,-0.09522896695580435,0.580124930079689
