horizon,series_count,median,q25,q75,minimum,maximum
2,70,1.164881407746086,1.0958806200925906,1.2581735115967265,0.9049204181995498,1.4081084574201548
3,70,1.244926116501815,1.1586840053291554,1.4433813581850266,0.8971507972251936,1.7189085205224914
7,70,1.5896609092712903,1.259391511293887,1.8656633939686158,0.7810821263734852,2.620507821696842
14,70,1.9180715998344922,1.4153818487876841,2.4831291361082735,0.7790151438490456,3.6263846232256247
21,70,2.1655824028254647,1.3729578604581203,2.8169972824801364,0.8282190534477547,4.202442145896714
28,70,2.2387348048780193,1.3358342241700596,3.144513564917427,0.474641740753436,5.188880645680496
