store_id,dept_id,residual_count,mean_residual,median_residual,residual_mad,robust_daily_scale,residual_std,positive_residual_share,skewness,q90,q95,q975,q99,top_1pct_abs_share
CA_1,FOODS_1,196.0,-15.075759644833058,-19.293611246672384,41.59376109095851,61.66691019345508,63.09622922544898,0.37244897959183676,0.3475126668810746,59.00520231184973,79.85699772588036,106.47589701527042,184.31727018590342,0.0377734423591848
CA_1,FOODS_2,196.0,4.4944578152785875,-0.602788237416604,36.734040627207236,54.461888633897445,58.971784620850926,0.49489795918367346,-0.027932989890029035,85.31182979647497,104.0744183922624,112.17035672910023,120.60938033320433,0.030795996647596385
CA_1,FOODS_3,196.0,23.086529061750394,16.131308947401862,134.3404220421737,199.17310971972674,210.9195421305928,0.5255102040816326,0.3303848986394858,280.44892903248603,342.1496287152972,511.93931479443154,614.3536294984017,0.043049850844413165
CA_1,HOBBIES_1,196.0,19.5241728291817,18.13824074331498,47.45564850475711,70.35774447315288,69.06643120124009,0.6173469387755102,0.19762451632361563,110.33837169010147,134.32420610416364,158.42184373914574,186.19991409679812,0.03718120258750127
CA_1,HOBBIES_2,196.0,0.26214872709305276,-1.4252884101740548,9.85799291289236,14.615460292654213,15.399617088006547,0.4489795918367347,1.2211656646510793,19.133274539796638,27.30441942315977,39.58808461317629,45.56988287260933,0.055846169112502356
CA_1,HOUSEHOLD_1,196.0,16.069808002122315,5.057579073015518,45.87883695523766,68.01996366983535,72.60813053425656,0.5204081632653061,0.7378391258338529,118.21995182776112,160.1432386537729,170.4772890008672,187.41647787913485,0.047391935641276736
CA_1,HOUSEHOLD_2,196.0,0.4715949924966589,-5.0839400003279,17.10011088336759,25.352624395680788,30.27789039413575,0.41836734693877553,0.5365101843964932,42.55254572755514,56.411811684716994,69.22599144747994,82.31205701133764,0.03776999755320922
CA_2,FOODS_1,196.0,10.477437017060234,4.410219849485486,43.50279002282275,64.497236487837,74.42520396041158,0.5306122448979592,0.8668261330600966,101.16691486671843,153.03163743586853,168.76267104000598,235.56927698882828,0.05179589928498101
CA_2,FOODS_2,196.0,9.40604246143728,-6.647134728303989,32.368056172372434,47.988880081159365,60.57178160300321,0.4642857142857143,0.9510194278297167,102.83056418225408,136.73070374920366,159.60454774480058,181.90798519776462,0.04236174225131277
CA_2,FOODS_3,196.0,27.18346193899615,23.14187730141657,102.26265589660431,151.61461363230555,176.0326148393479,0.5714285714285714,0.1015771262934221,237.55891104126135,293.429496625821,388.27219647339814,473.1758057641143,0.04687206741244966
CA_2,HOBBIES_1,196.0,1.8224826140449695,-2.8834231964750927,35.155956455887946,52.122221041499465,57.31322087731715,0.4744897959183674,0.5303074992335126,71.71642537660915,96.24643263240196,126.65138555476969,150.99488518406756,0.047287517542055145
CA_2,HOBBIES_2,196.0,2.512589434779363,-1.5065762576878257,9.65102357740722,14.308607555863942,17.875882068334377,0.45408163265306123,1.3534546561306098,25.87261765662571,34.127232799599724,48.513473530100256,61.97734418233389,0.05767583100241747
CA_2,HOUSEHOLD_1,196.0,8.846492964608503,3.0758722148558206,47.50242364135187,70.42709329066828,86.1583604323268,0.5204081632653061,0.9702418576083738,103.85545829047709,182.3601700939793,233.62661332925825,267.92740068782314,0.051020096110573246
