config,factors,regularization,iterations,alpha,hit_rate_at_5,recall_at_5,ndcg_at_5,mrr_at_5,precision_at_5,hit_rate_at_10,recall_at_10,ndcg_at_10,mrr_at_10,precision_at_10,hit_rate_at_20,recall_at_20,ndcg_at_20,mrr_at_20,precision_at_20,coverage_at_20,fit_seconds,scoring_seconds,serialized_estimator_bytes
ALS-1,32,0.01,15,1.0,0.022887541754299145,0.022887541754299145,0.015453574488762433,0.0130190935708689,0.004577508350859829,0.03501175306198194,0.03501175306198194,0.019325923320763105,0.014588475911623256,0.0035011753061981944,0.048373128788816035,0.048373128788816035,0.022708044926956418,0.015518293338951607,0.002418656439440802,0.012066728014912343,23.76978495786898,3.4519105420913547,169477315
ALS-2,64,0.01,15,1.0,0.029568229617716196,0.029568229617716196,0.020031286965094576,0.016909975669099755,0.00591364592354324,0.04515650129902264,0.04515650129902264,0.02501400385697647,0.01893057936606124,0.004515650129902264,0.061115922306074474,0.061115922306074474,0.02904871932240002,0.02003803355034908,0.0030557961153037244,0.015936386588329677,66.07021608389914,3.9387278750073165,338951235
ALS-3,64,0.05,20,1.0,0.030063095385376718,0.030063095385376718,0.020002712730694174,0.01672440100622706,0.006012619077075344,0.04589879995051342,0.04589879995051342,0.0250852001873127,0.018798418786047145,0.004589879995051342,0.06148707163181987,0.06148707163181987,0.029017183528429753,0.019872592700943034,0.003074353581590994,0.016243127816710317,86.05942733306438,3.9310436667874455,338951235
