model,ndcg_at_10,hit_rate_at_10,hit_rate_at_20,coverage_at_20
popularity,0.0031214571649555373,0.005814672770011135,0.010515897562786094,9.4381916424813e-05
item_cf,0.1914702054352544,0.2507732277619696,0.26363973772114313,0.2364408579316203
ALS-3,0.0250852001873127,0.04589879995051342,0.06148707163181987,0.016243127816710317
