dimension,value,instances,hit_rate_at_5,recall_at_5,ndcg_at_5,mrr_at_5,precision_at_5,hit_rate_at_10,recall_at_10,ndcg_at_10,mrr_at_10,precision_at_10,hit_rate_at_20,recall_at_20,ndcg_at_20,mrr_at_20,precision_at_20
target_warm,False,456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
target_warm,True,7627,0.031860495607709455,0.031860495607709455,0.021198626852261832,0.017724312748568682,0.006372099121541891,0.04864297889078274,0.04864297889078274,0.026584984019148886,0.019922331066948875,0.0048642978890782755,0.06516323587255801,0.06516323587255801,0.030752051194479834,0.021060727258649863,0.003258161793627901
target_previously_seen,False,6034,0.007126284388465363,0.007126284388465363,0.0043711590401410184,0.003471992045077891,0.0014252568776930725,0.010275107722903546,0.010275107722903546,0.005362387792029838,0.0038645427235085837,0.0010275107722903546,0.015744116672190916,0.015744116672190916,0.006709116806449303,0.004215163094375422,0.0007872058336095459
target_previously_seen,True,2049,0.09760858955588092,0.09760858955588092,0.06603531154416305,0.05575077273466731,0.019521717911176184,0.15080527086383602,0.15080527086383602,0.08316594688967327,0.06277646083649012,0.015080527086383601,0.19619326500732065,0.19619326500732065,0.09471111939979629,0.0659813922353642,0.009809663250366033
target_event,addtocart,32,0.09375,0.09375,0.06442519723890158,0.0546875,0.018750000000000003,0.09375,0.09375,0.06442519723890158,0.0546875,0.009375000000000001,0.09375,0.09375,0.06442519723890158,0.0546875,0.004687500000000001
target_event,transaction,4,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.07886621919643219,0.03125,0.025,0.25,0.25,0.07886621919643219,0.03125,0.0125
target_event,view,8047,0.0298247794209022,0.0298247794209022,0.01983600356537295,0.0165817488919266,0.00596495588418044,0.04560705853112961,0.04560705853112961,0.02490202583889872,0.018649511500884685,0.004560705853112961,0.061265067727103266,0.061265067727103266,0.02885159976039109,0.019728490965791292,0.003063253386355164
history_bucket,10+,1498,0.044058744993324434,0.044058744993324434,0.027527988043537826,0.022207387627948376,0.008811748998664888,0.062082777036048066,0.062082777036048066,0.03324037585753896,0.024496683408565915,0.006208277703604807,0.08411214953271028,0.08411214953271028,0.03878448501225951,0.026004924111300207,0.004205607476635514
history_bucket,2-3,4071,0.024809629083763204,0.024809629083763204,0.017705585960772232,0.0153852452304921,0.004961925816752641,0.03930238270695161,0.03930238270695161,0.022379478383347143,0.017305525337949806,0.003930238270695161,0.05207565708671088,0.05207565708671088,0.02562809518467478,0.01820729609984842,0.0026037828543355444
history_bucket,4-9,2514,0.030230708035003977,0.030230708035003977,0.01923848865022975,0.015625828692654466,0.006046141607000796,0.046937151949085126,0.046937151949085126,0.024607292593814226,0.017820522534126353,0.004693715194908512,0.06324582338902147,0.06324582338902147,0.028685266672681745,0.018915229936560026,0.0031622911694510745
