dimension,value,instances,hit_rate_at_5,recall_at_5,ndcg_at_5,mrr_at_5,precision_at_5,hit_rate_at_10,recall_at_10,ndcg_at_10,mrr_at_10,precision_at_10,hit_rate_at_20,recall_at_20,ndcg_at_20,mrr_at_20,precision_at_20
target_warm,False,456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
target_warm,True,7627,0.24347712075521175,0.24347712075521175,0.19563867136625854,0.17953979284122196,0.048695424151042346,0.26576635636554347,0.26576635636554347,0.20291774885710775,0.18258593634560596,0.026576635636554345,0.2794021240330405,0.2794021240330405,0.20634373311513954,0.18351545256527496,0.013970106201652026
target_previously_seen,False,6034,0.007954922108054359,0.007954922108054359,0.003689881994705741,0.0023174234891172245,0.001590984421610872,0.016407026847862115,0.016407026847862115,0.006394972399528779,0.0034179990635078467,0.0016407026847862116,0.023864766324163077,0.023864766324163077,0.008251537094281263,0.003912779668975724,0.0011932383162081537
target_previously_seen,True,2049,0.8828696925329429,0.8828696925329429,0.7173603702071252,0.6614771433219456,0.17657393850658862,0.9409468033186921,0.9409468033186921,0.7364892177034673,0.6695747828983555,0.09409468033186921,0.969741337237677,0.969741337237677,0.7437744644423017,0.6715776692009529,0.04848706686188386
target_event,addtocart,32,0.1875,0.1875,0.13727466439732416,0.11979166666666666,0.037500000000000006,0.21875,0.21875,0.1471329417968782,0.12369791666666666,0.021875000000000002,0.28125,0.28125,0.16147820622990045,0.1269051535087719,0.0140625
target_event,transaction,4,0.5,0.5,0.4077324383928644,0.375,0.1,0.5,0.5,0.4077324383928644,0.375,0.05,0.5,0.5,0.4077324383928644,0.375,0.025
target_event,view,8047,0.2297750714552007,0.2297750714552007,0.1846790639363947,0.16950623420736502,0.04595501429104014,0.250776686964086,0.250776686964086,0.19153901909308926,0.17237785549578766,0.025077668696408602,0.26345221821796944,0.26345221821796944,0.19472914379473608,0.17324610311955654,0.01317261091089847
history_bucket,10+,1498,0.232977303070761,0.232977303070761,0.16343805318150284,0.140520694259012,0.04659546061415221,0.30707610146862485,0.30707610146862485,0.18765286264457567,0.1506609341555937,0.030707610146862484,0.35046728971962615,0.35046728971962615,0.19861555081747065,0.15366542720943532,0.017523364485981307
history_bucket,2-3,4071,0.21100466715794644,0.21100466715794644,0.18571158656220507,0.1769385081470564,0.042200933431589295,0.21788258413166298,0.21788258413166298,0.18790166447835976,0.17782329913870076,0.021788258413166298,0.22279538197003193,0.22279538197003193,0.18913054350869382,0.1781546509727527,0.011139769098501597
history_bucket,4-9,2514,0.25815433571996815,0.25815433571996815,0.19541530387821235,0.17443648899496153,0.05163086714399364,0.27048528241845665,0.27048528241845665,0.19952347104223714,0.1762029460418482,0.027048528241845664,0.27804295942720764,0.27804295942720764,0.2013950336995647,0.176696086971178,0.013902147971360383
