dimension,value,instances,share,target_cold_at_T,hit_rate_at_5,recall_at_5,ndcg_at_5,mrr_at_5,precision_at_5,hit_rate_at_10,recall_at_10,ndcg_at_10,mrr_at_10,precision_at_10,hit_rate_at_20,recall_at_20,ndcg_at_20,mrr_at_20,precision_at_20
target_cold_at_T,False,8560,0.9422124380847551,0.0,0.2185747663551402,0.2185747663551402,0.17539509081004195,0.16088200934579439,0.04371495327102804,0.23773364485981308,0.23773364485981308,0.1816553690257553,0.16350560005933837,0.023773364485981312,0.24964953271028037,0.24964953271028037,0.18463982270003992,0.1643095471853953,0.012482476635514017
target_cold_at_T,True,525,0.05778756191524491,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
target_previously_seen,False,7038,0.7746835443037975,0.07459505541346974,0.008525149190110827,0.008525149190110827,0.003938240416592532,0.002462820877143128,0.0017050298380221654,0.014776925262858768,0.014776925262858768,0.005978549264327127,0.0033161251618199616,0.0014776925262858767,0.020744529695936344,0.020744529695936344,0.0074678007453832865,0.0037144203290090235,0.0010372264847968173
target_previously_seen,True,2047,0.22531645569620254,0.0,0.8847093307278945,0.8847093307278945,0.7199143337967665,0.664297345709168,0.1769418661455789,0.9433317049340498,0.9433317049340498,0.7390781285481831,0.672334659315607,0.09433317049340499,0.9726428920371275,0.9726428920371275,0.7464379583128159,0.6743271292776836,0.04863214460185638
target_event,addtocart,51,0.005613648871766648,0.0784313725490196,0.0392156862745098,0.0392156862745098,0.018248559962223396,0.011437908496732025,0.00784313725490196,0.0392156862745098,0.0392156862745098,0.018248559962223396,0.011437908496732025,0.00392156862745098,0.0392156862745098,0.0392156862745098,0.018248559962223396,0.011437908496732025,0.00196078431372549
target_event,transaction,1,0.0001100715465052284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
target_event,view,9033,0.9942762795817282,0.057677405070297796,0.20690800398538692,0.20690800398538692,0.16610774944933973,0.15239307723532233,0.04138160079707739,0.22506365548544227,0.22506365548544227,0.17204021723706317,0.15487928741000812,0.022506365548544228,0.2363555850769401,0.2363555850769401,0.1748683943046904,0.1556411370058287,0.011817779253847005
history_bucket,10+,1648,0.1813979086406164,0.046723300970873786,0.21419902912621358,0.21419902912621358,0.15345624152333226,0.13355582524271845,0.042839805825242716,0.2797330097087379,0.2797330097087379,0.17476681304910766,0.1424307000308214,0.027973300970873787,0.31978155339805825,0.31978155339805825,0.1847958289405469,0.1451316419190745,0.015989077669902912
history_bucket,2-3,4487,0.4938910291689598,0.06463115667483842,0.187207488299532,0.187207488299532,0.1626330444373696,0.15413416536661467,0.0374414976599064,0.1925562736795186,0.1925562736795186,0.16438599849023483,0.15487139213459694,0.01925562736795186,0.1981279251170047,0.1981279251170047,0.16578506099770673,0.1552505820438603,0.009906396255850235
history_bucket,4-9,2950,0.3247110621904238,0.05355932203389831,0.22983050847457628,0.22983050847457628,0.17584800708916284,0.15777966101694915,0.04596610169491526,0.24067796610169492,0.24067796610169492,0.1794421273660515,0.15931329028786656,0.02406779661016949,0.24440677966101695,0.24440677966101695,0.18037145339715605,0.1595604801334061,0.012220338983050848
