policy,flagged,positives_captured,precision,recall,prevalence,lift
Top 5%,117,66,0.5641025641025641,0.1935483870967742,0.14685615848406547,3.8411910669975184
Top 10%,233,129,0.5536480686695279,0.3782991202346041,0.14685615848406547,3.7700023913508613
Top 20%,465,216,0.4645161290322581,0.6334310850439883,0.14685615848406547,3.163068773058367
