error_type,recency_days,basket_frequency_lifetime,monetary_lifetime,average_basket_value,baskets_last_7d,baskets_last_28d,spend_last_28d,median_days_between_baskets,std_days_between_baskets,active_span_days,unique_departments,department_spend_hhi,discount_share_of_gross,coupon_basket_rate,baskets_28d_change,spend_28d_change,score
FN,13.0,17.0,439.07,24.64063829787234,0.0,1.0,20.3,8.205104166666667,14.187090311602832,249.0,9.0,0.343909978895283,0.15476532665380036,0.0,0.0,0.0,0.25897561753243836
FP,65.0,9.0,188.495,18.88416666666667,0.0,0.0,0.0,15.411640625,22.694578157466175,211.5,7.0,0.361759629356716,0.13224504747581992,0.0,0.0,0.0,0.5616358562127829
TN,3.0,45.0,1288.3200000000002,27.817456171107995,1.0,4.0,120.50500000000001,4.197034143518518,5.917908724960979,269.0,11.0,0.33379902195582,0.1500137932708841,0.03225806451612903,0.0,0.49500000000000455,0.025335046717094786
TP,75.0,8.0,193.58999999999997,20.47785714285714,0.0,0.0,0.0,13.006452546296295,20.88158938345992,185.0,7.0,0.3841051500326605,0.1411977616025506,0.0,0.0,0.0,0.5737423489829052
