threshold,selected,precision,recall,f1
0.1,1816,0.30561674008810574,0.888,0.4547316673494469
0.2,1258,0.3712241653418124,0.7472,0.4960169941582581
0.3,845,0.4414201183431953,0.5968,0.507482993197279
0.4,580,0.49482758620689654,0.4592,0.4763485477178423
0.5,342,0.5321637426900585,0.2912,0.3764219234746639
