candidate,cohort,n,prevalence,pr_auc,roc_auc,log_loss,brier,precision_at_0_5,recall_at_0_5,f1_at_0_5,confusion_matrix
ET-1,September,2247,0.13796172674677348,0.4906484997994506,0.8648675204423203,0.2868392767605884,0.08908857420534672,0.6,0.17419354838709677,0.27,"[[1901, 36], [256, 54]]"
ET-1,October,2282,0.13803680981595093,0.47644564419643004,0.8534582516280534,0.2951437693575851,0.09171261991089213,0.6052631578947368,0.14603174603174604,0.23529411764705882,"[[1937, 30], [269, 46]]"
ET-1,Pooled,4529,0.13799955840141312,0.48165276272914387,0.8591563524590164,0.2910236115157985,0.09041073633827995,0.6024096385542169,0.16,0.2528445006321112,"[[3838, 66], [525, 100]]"
ET-2,September,2247,0.13796172674677348,0.4989375844504129,0.8646643462620948,0.2894380829926127,0.09007323676870684,0.723404255319149,0.10967741935483871,0.19047619047619047,"[[1924, 13], [276, 34]]"
ET-2,October,2282,0.13803680981595093,0.4695147433325579,0.8506064347447164,0.2993444770174606,0.09315385598029198,0.6818181818181818,0.09523809523809523,0.1671309192200557,"[[1953, 14], [285, 30]]"
ET-2,Pooled,4529,0.13799955840141312,0.4826507400276322,0.8576020491803279,0.2944295581890584,0.09162544984904186,0.7032967032967034,0.1024,0.1787709497206704,"[[3877, 27], [561, 64]]"
ET-3,September,2247,0.13796172674677348,0.47862391748933664,0.8623711426049594,0.29004267368603,0.08982487796929833,0.559322033898305,0.2129032258064516,0.308411214953271,"[[1885, 52], [244, 66]]"
ET-3,October,2282,0.13803680981595093,0.46954502625211464,0.8520492894666764,0.29597284368070403,0.0921199496870597,0.5877192982456141,0.2126984126984127,0.3123543123543124,"[[1920, 47], [248, 67]]"
ET-3,Pooled,4529,0.13799955840141312,0.47149278105931514,0.8571364754098361,0.2930306727869013,0.09098128195691843,0.5732758620689655,0.2128,0.3103850641773629,"[[3805, 99], [492, 133]]"
