mean_score,observed_rate,model
0.0028845213156822374,0.008830022075055188,logistic_unweighted
0.007824517795563512,0.008830022075055188,logistic_unweighted
0.014552363693186566,0.008830022075055188,logistic_unweighted
0.024882866029078025,0.013245033112582781,logistic_unweighted
0.042365530200216356,0.05739514348785872,logistic_unweighted
0.07038719134214526,0.06858407079646017,logistic_unweighted
0.11631882094507227,0.1545253863134658,logistic_unweighted
0.19485677358120884,0.2185430463576159,logistic_unweighted
0.3278378615628456,0.3487858719646799,logistic_unweighted
0.5455672233049769,0.4922737306843267,logistic_unweighted
0.019947222962810162,0.011037527593818985,logistic_balanced
0.05170311253456042,0.006622516556291391,logistic_balanced
0.09387203946670758,0.011037527593818985,logistic_balanced
0.15754921535911853,0.011037527593818985,logistic_balanced
0.2500752940630362,0.052980132450331126,logistic_balanced
0.37398122566016917,0.06858407079646017,logistic_balanced
0.5172751146698974,0.152317880794702,logistic_balanced
0.6714429909535102,0.23399558498896247,logistic_balanced
0.810311586342781,0.36423841059602646,logistic_balanced
0.9172893777121727,0.46799116997792495,logistic_balanced
