segment_code,households,positives,prevalence,median_risk_score,top_10_flagged,within_segment_flag_rate,share_of_top10_flags
HIGH_ENGAGEMENT_BROAD,1186,56,0.047217537942664416,0.021324906514905477,3,0.002529510961214165,0.012875536480686695
LOWER_ENGAGEMENT_FOCUSED,845,256,0.3029585798816568,0.2250361306978121,219,0.2591715976331361,0.9399141630901288
PROMOTION_BASKET_BUILDERS,291,29,0.09965635738831616,0.04882956980966558,11,0.037800687285223365,0.04721030042918455
