model,n,prevalence,pr_auc,roc_auc,log_loss,brier,precision_at_0_5,recall_at_0_5,f1_at_0_5,confusion_matrix
ET-2,2322,0.14685615848406547,0.49990576953414034,0.86908771155893,0.29954173888330227,0.0952789742138576,0.65,0.07624633431085044,0.13648293963254593,"[[1967, 14], [315, 26]]"
Recency,2322,0.14685615848406547,0.4590739565711512,0.8135935078258114,0.9588583650319297,0.3095361266498577,0.2237410071942446,0.9120234604105572,0.35932986712882725,"[[902, 1079], [30, 311]]"
Heuristic,2322,0.14685615848406547,0.49938316643349023,0.8612145292300313,0.6282989876637418,0.17965871247034138,0.3612167300380228,0.8357771260997068,0.504424778761062,"[[1477, 504], [56, 285]]"
