segment_code,n,positives,prevalence,pr_auc,roc_auc,mean_score,median_score,top10_flagged,within_segment_flag_rate,share_of_all_flags
HIGH_ENGAGEMENT_BROAD,2228,92,0.04129263913824058,0.2057973845157061,0.8126984611626772,0.035663461174412894,0.016617015506765455,6,0.0026929982046678637,0.013245033112582781
LOWER_ENGAGEMENT_FOCUSED,1724,473,0.2743619489559165,0.5306449794525046,0.7583303336189401,0.2146528125507403,0.19487285338601687,410,0.23781902552204176,0.9050772626931567
PROMOTION_BASKET_BUILDERS,577,60,0.10398613518197573,0.4250781230564263,0.8626692456479691,0.09347692949650366,0.04598444967980561,37,0.06412478336221837,0.08167770419426049
