calibration,cohort,n,prevalence,pr_auc,roc_auc,log_loss,brier,precision_at_0_5,recall_at_0_5,f1_at_0_5,confusion_matrix,ece_10
uncalibrated,September,2247,0.13796172674677348,0.5010121298672133,0.8643695771645545,0.29317853018826134,0.09168220889135278,0.7083333333333334,0.054838709677419356,0.10179640718562874,"[[1930, 7], [293, 17]]",0.03204670846311314
uncalibrated,October,2282,0.13803680981595093,0.4712769966319728,0.8501561478684,0.3022505723823223,0.09438594464976172,0.631578947368421,0.0380952380952381,0.0718562874251497,"[[1960, 7], [303, 12]]",0.02736986577980458
uncalibrated,Pooled,4529,0.13799955840141312,0.48495021482909134,0.8571997950819671,0.2977496055441561,0.0930445239720967,0.6744186046511628,0.0464,0.08682634730538923,"[[3890, 14], [596, 29]]",0.028708441056088108
sigmoid,September,2247,0.13796172674677348,0.5010121298672133,0.8643695771645545,0.2994855998251077,0.09031175870221603,0.6019417475728155,0.2,0.30024213075060535,"[[1896, 41], [248, 62]]",0.04327067512361955
sigmoid,October,2282,0.13803680981595093,0.4712769966319728,0.8501561478684,0.30940156116119044,0.093491334045029,0.6146788990825688,0.2126984126984127,0.3160377358490566,"[[1925, 42], [248, 67]]",0.036496562318114975
sigmoid,Pooled,4529,0.13799955840141312,0.48495021482909134,0.8571997950819671,0.30448189564514316,0.09191383221343245,0.6084905660377359,0.2064,0.30824372759856633,"[[3821, 83], [496, 129]]",0.03844769297334795
isotonic,September,2247,0.13796172674677348,0.4737181286917273,0.8628749146501907,0.35288071610204214,0.0891672378012833,0.6201550387596899,0.25806451612903225,0.36446469248291574,"[[1888, 49], [230, 80]]",0.010467159473904628
isotonic,October,2282,0.13803680981595093,0.44141435072473656,0.847597259544387,0.33846468403640717,0.09261284830265483,0.5772357723577236,0.2253968253968254,0.3242009132420091,"[[1915, 52], [244, 71]]",0.01492377026357257
isotonic,Pooled,4529,0.13799955840141312,0.4567661507336952,0.8551690573770492,0.3456169966995738,0.0909033568483422,0.5992063492063492,0.2416,0.3443557582668187,"[[3803, 101], [474, 151]]",0.01188577015679414
