,value
eligible_score_count,2322.0
minimum,0.002421857610731475
p05,0.0053254397645081195
p25,0.016841047484476665
median,0.06131160314284558
p75,0.18997806575394174
p95,0.41865862797705494
maximum,0.6376290627896795
nan_scores,0.0
infinite_scores,0.0
duplicate_household_ids,0.0
