mean_score,observed_rate,calibration,cohort
0.0036708217367430102,0.013333333333333334,uncalibrated,September
0.0070087201668533865,0.0044444444444444444,uncalibrated,September
0.013891047440117292,0.004464285714285714,uncalibrated,September
0.02618716603680012,0.017777777777777778,uncalibrated,September
0.04533568163289506,0.044444444444444446,uncalibrated,September
0.07351217568101245,0.0625,uncalibrated,September
0.11601001443396582,0.14222222222222222,uncalibrated,September
0.17709661110735267,0.19642857142857142,uncalibrated,September
0.2562767031828204,0.3422222222222222,uncalibrated,September
0.3973593350138544,0.5511111111111111,uncalibrated,September
0.048381061607258274,0.013333333333333334,sigmoid,September
0.04958960364430621,0.0044444444444444444,sigmoid,September
0.05217736204020947,0.004464285714285714,sigmoid,September
0.05712154732186765,0.017777777777777778,sigmoid,September
0.06572525126999779,0.044444444444444446,sigmoid,September
0.08058442679412317,0.0625,sigmoid,September
0.108982592034654,0.14222222222222222,sigmoid,September
0.16453240026334331,0.19642857142857142,sigmoid,September
0.26775410659071,0.3422222222222222,sigmoid,September
0.51604082824857,0.5511111111111111,sigmoid,September
0.0,0.01020408163265306,isotonic,September
0.008856384613627913,0.008264462809917356,isotonic,September
0.008968609865470874,0.0091324200913242,isotonic,September
0.011098260118946312,0.011627906976744186,isotonic,September
0.05677400777463147,0.04501607717041801,isotonic,September
0.10472680563715514,0.11041009463722397,isotonic,September
0.2162162162162159,0.20833333333333334,isotonic,September
0.24578813669399613,0.2018348623853211,isotonic,September
0.3851889874872432,0.38175675675675674,isotonic,September
0.5905487156102754,0.6201550387596899,isotonic,September
0.0036452368633854444,0.0,uncalibrated,October
0.00707681040011408,0.013157894736842105,uncalibrated,October
0.013347436288198608,0.008771929824561403,uncalibrated,October
0.025932374825734874,0.039473684210526314,uncalibrated,October
0.04498996373438444,0.03508771929824561,uncalibrated,October
0.07434779446754143,0.08333333333333333,uncalibrated,October
0.11335249724716927,0.15789473684210525,uncalibrated,October
0.17135208776101896,0.21929824561403508,uncalibrated,October
0.25905848927128017,0.31140350877192985,uncalibrated,October
0.3927987228725325,0.5109170305676856,uncalibrated,October
0.04837187993588271,0.0,sigmoid,October
0.04961441107849154,0.013157894736842105,sigmoid,October
0.05196750952199298,0.008771929824561403,sigmoid,October
0.05701457351001056,0.039473684210526314,sigmoid,October
0.06556178088545023,0.03508771929824561,sigmoid,October
0.08109319667889259,0.08333333333333333,sigmoid,October
0.1068255842918968,0.15789473684210525,sigmoid,October
0.15867152652012986,0.21929824561403508,sigmoid,October
0.27199014931678805,0.31140350877192985,sigmoid,October
0.5081195894456655,0.5109170305676856,sigmoid,October
0.0,0.007481296758104738,isotonic,October
0.008763408873863432,0.007874015748031496,isotonic,October
0.008968358042994585,0.018691588785046728,isotonic,October
0.011093110978750983,0.03389830508474576,isotonic,October
0.056630469248413806,0.0438871473354232,isotonic,October
0.10859127489263531,0.13095238095238096,isotonic,October
0.21619029342212584,0.16455696202531644,isotonic,October
0.24548098743883517,0.22959183673469388,isotonic,October
0.39128069271570526,0.36774193548387096,isotonic,October
0.5773537382432657,0.5772357723577236,isotonic,October
