candidate,cohort,n,prevalence,pr_auc,roc_auc,log_loss,brier,precision_at_0_5,recall_at_0_5,f1_at_0_5,confusion_matrix
HGB-1,September,2247,0.13796172674677348,0.48438665506731243,0.8662630939097706,0.2859024637158457,0.08901743567912235,0.5654761904761905,0.3064516129032258,0.39748953974895396,"[[1864, 73], [215, 95]]"
HGB-1,October,2282,0.13803680981595093,0.4531228484233852,0.8486955399004203,0.30036382211191687,0.09360279576389609,0.5,0.2761904761904762,0.3558282208588957,"[[1880, 87], [228, 87]]"
HGB-1,Pooled,4529,0.13799955840141312,0.4671952143290399,0.8573532786885248,0.29318902142391245,0.0913278334961799,0.5321637426900585,0.2912,0.3764219234746639,"[[3744, 160], [443, 182]]"
HGB-2,September,2247,0.13796172674677348,0.4560825314689556,0.858530817526271,0.29632806110396204,0.0923670494118018,0.5319148936170213,0.3225806451612903,0.40160642570281124,"[[1849, 88], [210, 100]]"
HGB-2,October,2282,0.13803680981595093,0.4277782889939145,0.8441168163588092,0.3093240340878858,0.09582092962580119,0.45625,0.23174603174603176,0.30736842105263157,"[[1880, 87], [242, 73]]"
HGB-2,Pooled,4529,0.13799955840141312,0.4412341826107286,0.8512090163934426,0.3028762638748417,0.09410733526924199,0.49712643678160917,0.2768,0.355601233299075,"[[3729, 175], [452, 173]]"
HGB-3,September,2247,0.13796172674677348,0.4595830365309642,0.8608806434959282,0.2923868299307531,0.09151481136541385,0.5300546448087432,0.31290322580645163,0.3935091277890467,"[[1851, 86], [213, 97]]"
HGB-3,October,2282,0.13803680981595093,0.4388685928760595,0.8455871079155268,0.3053984773329831,0.09488066143939235,0.5063291139240507,0.25396825396825395,0.3382663847780127,"[[1889, 78], [235, 80]]"
HGB-3,Pooled,4529,0.13799955840141312,0.447873773976849,0.8531381147540984,0.29894293047654436,0.09321074200547101,0.5190615835777126,0.2832,0.36645962732919257,"[[3740, 164], [448, 177]]"
HGB-4,September,2247,0.13796172674677348,0.4637563192168266,0.8603610505104335,0.2957400552726584,0.09173591439526008,0.5284974093264249,0.32903225806451614,0.40556660039761433,"[[1846, 91], [208, 102]]"
HGB-4,October,2282,0.13803680981595093,0.4301607953878829,0.8452013782974637,0.30974588648883034,0.09604433148050279,0.4662576687116564,0.24126984126984127,0.3179916317991632,"[[1880, 87], [239, 76]]"
HGB-4,Pooled,4529,0.13799955840141312,0.44596306296622484,0.8527299180327871,0.3027970892393849,0.09390677060822628,0.5,0.2848,0.36289500509684,"[[3726, 178], [447, 178]]"
HGB-5,September,2247,0.13796172674677348,0.47175332705802925,0.8630789215114827,0.28850149467848524,0.09014452067597495,0.5574712643678161,0.31290322580645163,0.40082644628099173,"[[1860, 77], [213, 97]]"
HGB-5,October,2282,0.13803680981595093,0.44565623078154987,0.8467007206203953,0.30190988829543275,0.09436664780935196,0.4885057471264368,0.2698412698412698,0.3476482617586912,"[[1878, 89], [230, 85]]"
HGB-5,Pooled,4529,0.13799955840141312,0.45775834714666425,0.8549352459016394,0.29525750135410334,0.09227189848970124,0.5229885057471264,0.2912,0.37410071942446044,"[[3738, 166], [443, 182]]"
