error_type,recency_days,basket_frequency_lifetime,monetary_lifetime,average_basket_value,baskets_last_7d,baskets_last_28d,spend_last_28d,median_days_between_baskets,std_days_between_baskets,active_span_days,unique_departments,department_spend_hhi,discount_share_of_gross,coupon_basket_rate,baskets_28d_change,spend_28d_change,score,model
FN,20.0,16.0,406.76,24.036724137931035,0.0,1.0,8.709999999999999,8.975630787037037,15.46853785926877,238.0,8.0,0.3441898816779084,0.1532200694647864,0.0,0.0,0.0,0.25938890404374537,ET-2
FP,121.0,7.0,123.3,16.866,0.0,0.0,0.0,17.407743055555557,24.897913036844013,149.0,5.0,0.4232695274525635,0.0898736152285848,0.0,0.0,0.0,0.5513584887198578,ET-2
TN,4.0,43.0,1234.98,27.498,1.0,4.0,113.59,4.417390046296296,6.096988084184456,269.0,11.0,0.3339584318092719,0.14952948917459555,0.03125,0.0,0.0,0.04349328926583347,ET-2
TP,125.5,7.0,149.48,19.616875,0.0,0.0,0.0,11.067528935185184,20.428902144933538,125.5,5.0,0.411655722485446,0.12729177579884757,0.0,0.0,0.0,0.5377966505867321,ET-2
FN,13.0,17.0,439.07,24.64063829787234,0.0,1.0,20.3,8.205104166666667,14.187090311602832,249.0,9.0,0.343909978895283,0.15476532665380036,0.0,0.0,0.0,0.25897561753243836,HGB-1
FP,65.0,9.0,188.495,18.88416666666667,0.0,0.0,0.0,15.411640625,22.694578157466175,211.5,7.0,0.361759629356716,0.13224504747581992,0.0,0.0,0.0,0.5616358562127829,HGB-1
TN,3.0,45.0,1288.3200000000002,27.817456171107995,1.0,4.0,120.50500000000001,4.197034143518518,5.917908724960979,269.0,11.0,0.33379902195582,0.1500137932708841,0.03225806451612903,0.0,0.49500000000000455,0.025335046717094786,HGB-1
TP,75.0,8.0,193.58999999999997,20.47785714285714,0.0,0.0,0.0,13.006452546296295,20.88158938345992,185.0,7.0,0.3841051500326605,0.1411977616025506,0.0,0.0,0.0,0.5737423489829052,HGB-1
