metric,development,lockbox,absolute_gap,relative_gap_pct
pr_auc,0.4826507400276322,0.49990576953414034,0.017255029506508146,3.5750550191884667
roc_auc,0.8576020491803279,0.86908771155893,0.011485662378602157,1.339276461568617
brier,0.09162544984904186,0.0952789742138576,0.0036535243648157384,3.9874558551528327
log_loss,0.2944295581890584,0.29954173888330227,0.005112180694243851,1.736300093539267
