candidate,fit_seconds,prediction_seconds,serialized_kib
ET-1,0.4210544170346111,0.049767125165089965,32601.5556640625
ET-2,0.28360166610218585,0.03735612495802343,8397.1650390625
ET-3,0.39059079089201987,0.03898408403620124,18750.7744140625
