store_id,dept_id,prior_residual_count,prior_residual_median,prior_residual_mad,prior_robust_scale
CA_1,FOODS_1,168,-25.684189124220666,35.43211828588335,52.53165857065065
CA_1,FOODS_2,168,-1.3018993399340673,43.31974067676376,64.22584752736994
CA_1,FOODS_3,168,7.923849203863142,142.77086773808514,211.67208850848502
CA_1,HOBBIES_1,168,17.289827805758932,46.976886497940626,69.64793192184676
CA_1,HOBBIES_2,168,-2.920935617483586,8.814043308989756,13.067700609908211
CA_1,HOUSEHOLD_1,168,7.055601395861743,48.47646137804338,71.87120163908712
CA_1,HOUSEHOLD_2,168,-5.473172481554656,17.069525722806446,25.307278836632836
CA_2,FOODS_1,168,-7.615755540324386,39.40764758403104,58.42577830808442
CA_2,FOODS_2,168,-12.024618362151116,29.612275350817725,43.903159435122355
CA_2,FOODS_3,168,19.21992394083884,101.77879685519576,150.89724421751322
CA_2,HOBBIES_1,168,-4.7627889331289595,36.89570009761081,54.70156496471779
CA_2,HOBBIES_2,168,-2.8427111299485546,9.034327122200846,13.394293391374974
CA_2,HOUSEHOLD_1,168,-3.6843276356884758,45.03992774790109,66.77619687903815
CA_2,HOUSEHOLD_2,168,-1.2395743605110283,20.142957831405752,29.863949280842167
CA_3,FOODS_1,168,-24.065913311520916,50.320382425424214,74.60499898393394
CA_3,FOODS_2,168,17.66760848163824,64.39833025478615,95.47696443574593
CA_3,FOODS_3,168,-83.63718827007233,197.78391267905567,293.23442893796795
CA_3,HOBBIES_1,168,-22.757896521268464,49.849732808054966,73.90721386122229
CA_3,HOBBIES_2,168,3.648252262186009,10.789659601607411,15.996749325343147
CA_3,HOUSEHOLD_1,168,20.42353241000751,83.62607990773597,123.98402607120934
CA_3,HOUSEHOLD_2,168,4.913212594189503,22.67482903117721,33.61770152162333
CA_4,FOODS_1,168,-12.005087574539175,24.10919695569271,35.74429540651001
CA_4,FOODS_2,168,1.7637292652449332,27.477960584864036,40.73882436311942
CA_4,FOODS_3,168,-24.262206743142144,80.156564099229,118.84012193351691
CA_4,HOBBIES_1,168,12.35415079699078,44.518135522568855,66.00258772576058
CA_4,HOBBIES_2,168,-6.139248050531476,5.7296688895483605,8.494807095644399
CA_4,HOUSEHOLD_1,168,-0.7421382851627243,24.6044575617087,36.47856878098931
CA_4,HOUSEHOLD_2,168,-3.4546464898643805,11.026960703131124,16.348571938462204
TX_1,FOODS_1,168,-9.015130283288116,31.94925731162617,47.36796889021696
TX_1,FOODS_2,168,-6.909115162940736,30.99554875467055,45.954000583674556
TX_1,FOODS_3,168,-51.573091714937846,96.99760097751357,143.80864320926162
TX_1,HOBBIES_1,168,3.35228629162593,30.248602333520225,44.84657781967708
TX_1,HOBBIES_2,168,1.8294803153880679,10.735863390625315,15.916991062941092
TX_1,HOUSEHOLD_1,168,20.33032524814172,49.35642478068894,73.17583537984942
TX_1,HOUSEHOLD_2,168,0.2987811063512424,16.385507467327315,24.293153371059475
TX_2,FOODS_1,168,-26.12703194291352,30.65065159994984,45.44265606208563
TX_2,FOODS_2,168,-7.811833265177,33.80774934945228,50.12336918549795
TX_2,FOODS_3,168,-41.65795526983845,124.96472773684309,185.27270534264355
TX_2,HOBBIES_1,168,5.762759951001044,36.12534962471969,53.55944335360941
TX_2,HOBBIES_2,168,0.44935867804020546,12.068633475491076,17.892955990763067
TX_2,HOUSEHOLD_1,168,2.586436775464506,52.7841509083666,78.25778213674431
TX_2,HOUSEHOLD_2,168,3.9485061642942156,17.430686732382796,25.84273614943073
TX_3,FOODS_1,168,-6.582356202483766,33.46832859706534,49.62014397800907
TX_3,FOODS_2,168,1.2222230771089073,39.93788391101927,59.211906686477164
TX_3,FOODS_3,168,14.023064556677582,115.01769419548702,170.52523341422906
TX_3,HOBBIES_1,168,15.203725840623378,29.80770011824157,44.19289619530495
TX_3,HOBBIES_2,168,5.158204388232139,11.504291330894542,17.056262327184246
TX_3,HOUSEHOLD_1,168,14.740755402915227,65.66806597354093,97.35947461237178
TX_3,HOUSEHOLD_2,168,7.101941028670069,13.696061250985842,20.30578041071161
