block,rows,defined_scores,undefined_rate,score_median,score_iqr,score_p01,score_p05,score_p95,score_p99,max_absolute_score,positive_scores,negative_scores,mae,mean_residual,median_residual
development_2,1960,1960,0.0,0.014893893234481825,1.5426921330823353,-2.828011360167687,-1.846547317414439,2.159339157795354,3.5516020872942478,6.588510397867758,991,969,48.81363749774624,3.1903712720877087,-0.40829166984872245
development_3,1960,1960,0.0,-0.2023058178057572,1.3653024490629089,-2.767270859033494,-1.9090471987866546,1.8218445286381153,2.7981011349672733,8.159505228132014,787,1173,50.50544838892777,-8.6973099758186,-7.563234990162385
development_4,1960,1960,0.0,-0.09573998434324718,1.7270508535256242,-3.233062684248677,-2.0253469305599876,2.8574719327636653,5.793314407068351,10.74885335282247,925,1035,58.45048809007087,-18.036639674053173,-5.052670195861168
development_5,1960,1960,0.0,0.2754529568468554,1.7256870499545909,-2.404726842491645,-1.6116076215679356,2.638964254135897,4.07041842543217,6.159486873757532,1173,787,70.40733475018072,38.72156085685834,7.846883009905298
