snapshot,households,agreement_with_independent_fit,ari_with_independent_fit,fixed_assignment_counts
2017-06-30 23:59:59,2085,0.9045563549160671,0.7061345973822195,"{""0"": 276, ""1"": 806, ""2"": 1003}"
2017-07-31 23:59:59,2172,0.932780847145488,0.7922988335588529,"{""0"": 273, ""1"": 925, ""2"": 974}"
2017-08-31 23:59:59,2219,0.9540333483551149,0.8528533727222265,"{""0"": 281, ""1"": 996, ""2"": 942}"
