cluster,household_count,household_share,recency_days,basket_frequency,monetary_value,avg_basket_value,unique_products,unique_departments,department_spend_hhi,discount_share_of_gross,discounted_basket_rate,coupon_basket_rate,private_label_spend_share,dominant_store_basket_share
0,484,0.21539830885625277,6.0,27.0,886.06,31.391587183308495,221.0,11.0,0.35038108071640817,0.1748699801204306,0.8888888888888888,0.14285714285714285,0.24864213293107695,0.8224014336917562
1,917,0.40809968847352024,3.0,57.0,1806.02,30.271935483870966,379.0,13.0,0.3227073537042001,0.1532390558386191,0.875,0.047619047619047616,0.280730698101409,0.7662337662337663
2,846,0.376502002670227,9.0,19.0,461.625,21.381400862068965,121.0,8.0,0.34979095502091767,0.13556426606256525,0.8333333333333334,0.0,0.2508721276517696,0.7477272727272728
