snapshot,aligned_cluster,household_count,household_share,recency_days,basket_frequency,monetary_value,avg_basket_value,unique_departments,department_spend_hhi,discount_share_of_gross,coupon_basket_rate,private_label_spend_share
2017-06-30 23:59:59,0,230,0.11031175059952038,4.0,25.0,1057.3649999999998,42.57354395604396,11.0,0.3482959617086659,0.19015488857006507,0.24529914529914532,0.23751458847681187
2017-06-30 23:59:59,1,997,0.47817745803357314,2.0,42.0,1309.21,30.481546391752577,12.0,0.3133737869876205,0.14249772073777967,0.03333333333333333,0.2749144760532949
2017-06-30 23:59:59,2,858,0.4115107913669065,11.0,13.0,287.62,20.041999999999998,7.0,0.39124101479065865,0.15042439195120794,0.0,0.25416896500179176
2017-07-31 23:59:59,0,226,0.10405156537753223,4.0,27.0,1130.27,44.99375488917862,11.0,0.3501619740356494,0.19082702406460525,0.2467948717948718,0.23898603426431728
2017-07-31 23:59:59,1,1066,0.49079189686924496,2.0,48.0,1482.5700000000002,30.2631426106958,12.0,0.31041565345235905,0.144548446390803,0.033473389355742296,0.2775327571196932
2017-07-31 23:59:59,2,880,0.40515653775322286,11.0,14.0,316.45500000000004,20.348333333333336,7.0,0.38467324698542593,0.14922095073643585,0.0,0.24885140595324723
2017-08-31 23:59:59,0,257,0.11581793600721045,5.0,32.0,1331.92,43.58846153846154,11.0,0.3450042567894364,0.19231778498024837,0.2222222222222222,0.2471458812871498
2017-08-31 23:59:59,1,1077,0.4853537629562866,2.0,55.0,1624.05,29.783478260869565,12.0,0.30895469927142866,0.1425652911519438,0.03225806451612903,0.27988923713598884
2017-08-31 23:59:59,2,885,0.3988283010365029,13.0,15.0,345.22,20.57266666666667,8.0,0.37745050750485976,0.1502114336322926,0.0,0.24468133158679256
2017-09-30 23:59:59,0,293,0.1303960836671117,5.0,34.0,1412.95,43.3225,11.0,0.34873803851158536,0.19465769271216743,0.21428571428571427,0.23959505896272337
2017-09-30 23:59:59,1,1077,0.47930574098798395,2.0,61.0,1830.3,30.00816513761468,13.0,0.30874741622725094,0.14095449500554938,0.032,0.27893790149892933
2017-09-30 23:59:59,2,877,0.3902981753449043,13.0,17.0,378.33,19.651929824561407,8.0,0.3757868963321182,0.15005721914934197,0.0,0.2591940943601905
