from_snapshot,to_snapshot,from_cluster,to_cluster,count,row_share
2017-06-30 23:59:59,2017-07-31 23:59:59,0,0,198,0.8608695652173913
2017-06-30 23:59:59,2017-07-31 23:59:59,0,1,24,0.10434782608695652
2017-06-30 23:59:59,2017-07-31 23:59:59,0,2,8,0.034782608695652174
2017-06-30 23:59:59,2017-07-31 23:59:59,1,0,7,0.007021063189568706
2017-06-30 23:59:59,2017-07-31 23:59:59,1,1,940,0.9428284854563691
2017-06-30 23:59:59,2017-07-31 23:59:59,1,2,50,0.05015045135406219
2017-06-30 23:59:59,2017-07-31 23:59:59,2,0,12,0.013986013986013986
2017-06-30 23:59:59,2017-07-31 23:59:59,2,1,94,0.10955710955710955
2017-06-30 23:59:59,2017-07-31 23:59:59,2,2,752,0.8764568764568764
2017-07-31 23:59:59,2017-08-31 23:59:59,0,0,217,0.9601769911504425
2017-07-31 23:59:59,2017-08-31 23:59:59,0,1,4,0.017699115044247787
2017-07-31 23:59:59,2017-08-31 23:59:59,0,2,5,0.022123893805309734
2017-07-31 23:59:59,2017-08-31 23:59:59,1,0,28,0.02626641651031895
2017-07-31 23:59:59,2017-08-31 23:59:59,1,1,970,0.9099437148217636
2017-07-31 23:59:59,2017-08-31 23:59:59,1,2,68,0.06378986866791744
2017-07-31 23:59:59,2017-08-31 23:59:59,2,0,5,0.005681818181818182
2017-07-31 23:59:59,2017-08-31 23:59:59,2,1,99,0.1125
2017-07-31 23:59:59,2017-08-31 23:59:59,2,2,776,0.8818181818181818
2017-08-31 23:59:59,2017-09-30 23:59:59,0,0,244,0.9494163424124513
2017-08-31 23:59:59,2017-09-30 23:59:59,0,1,10,0.038910505836575876
2017-08-31 23:59:59,2017-09-30 23:59:59,0,2,3,0.011673151750972763
2017-08-31 23:59:59,2017-09-30 23:59:59,1,0,28,0.025998142989786442
2017-08-31 23:59:59,2017-09-30 23:59:59,1,1,983,0.9127205199628597
2017-08-31 23:59:59,2017-09-30 23:59:59,1,2,66,0.06128133704735376
2017-08-31 23:59:59,2017-09-30 23:59:59,2,0,18,0.020338983050847456
2017-08-31 23:59:59,2017-09-30 23:59:59,2,1,82,0.09265536723163842
2017-08-31 23:59:59,2017-09-30 23:59:59,2,2,785,0.8870056497175142
