snapshot,raw_cluster_id,aligned_reference_id,profile_distance_to_reference
2017-06-30 23:59:59,0,1,0.15848555523886393
2017-06-30 23:59:59,1,0,0.5789830387330434
2017-06-30 23:59:59,2,2,0.1825135007826451
2017-07-31 23:59:59,0,2,0.09150537904010389
2017-07-31 23:59:59,1,1,0.07895601863830572
2017-07-31 23:59:59,2,0,0.4710771687504231
2017-08-31 23:59:59,0,0,0.2452921397942462
2017-08-31 23:59:59,1,1,0.04332802759994703
2017-08-31 23:59:59,2,2,0.22642691242654675
2017-09-30 23:59:59,0,0,0.0
2017-09-30 23:59:59,1,1,0.0
2017-09-30 23:59:59,2,2,0.0
